Number,Location,Topic,HasDates,People,Summary,Question,Answer
1,"5:3-7","Background","No","","The witness, Matthew Heindel, spelled his name as M-a-t-t-h-e-w H-e-i-n-d-e-l.","Good evening -- or good afternoon, sir. · · · · ·Can you state and spell your name for the record.","Yeah. It's Matt Heindel -- Matthew Heindel, H-e -- Matthew, M-a-t-t-h-e-w, H-e-i-n-d-e-l.· A lot of people say Heindel, so don't worry."
2,"5:8-10","Admonitions","No","","The witness, Mr. Heindel, testified that he had previously had his deposition taken.","Mr. Heindel, have you had your deposition taken before?","I have."
3,"5:11-13","Timeline","No","","The witness testified that the last time they had their deposition taken was in approximately May of the current year.","And when was the last time you had your deposition taken?","In approximately May of this year."
4,"5:14-17","Complaints","No","","The witness testified that there is ongoing litigation with a competitor regarding intellectual property.","Okay. And do you recall the nature of the matter?","We have ongoing litigation with a competitor regarding intellectual property."
5,"5:18-20","Admonitions","No","","The witness testified that they had been deposed three times, with the current deposition being the most recent.","Okay. Any other depositions outside of that?","Well, I've been deposed three times. This is the third time, the most recent one."
6,"5:21-25","Complaints","No","","The witness testified that the other two cases involved intellectual property and a Lanham Act false advertisement claim, all against the same competitor.","Okay. And the other two? Do you recall the nature of the other two?","One was similar -- intellectual property; and the original -- I believe it was a Lanham Act, false advertisement, all with the same competitor."
7,"6:1-7","Admonitions","No","","The witness testified that they understood the importance of telling the truth under oath, including the potential consequences of incarceration or civil fines for not doing so.","Okay. You've just been sworn to tell the truth under penalty of perjury just like under oath before a judge and a jury and not telling the truth can lead to possible incarceration or civil fines; so it's important you tell the truth. · · · · ·Do you understand?","Yes."
8,"6:8-13","Admonitions","No","","The witness testified that they understood the instructions regarding speaking one at a time and providing verbal answers.","And only one person can speak at a time, so please let me finish the question before you answer. · · · · ·And we need verbal answers such as ""yes"" and ""no"" and not head nods or shoulder shrugs. · · · · ·Do you understand?","Yes."
9,"6:14-22","Admonitions","No","","The witness testified that they understood the explanation regarding objections during the deposition process.","After my question, your attorney may make an objection.· An objection is like a Post-it note.· It goes on the record, and later the judge will decide the legal issue.· It's not your job to figure out if the objections are valid; therefore, after the objection, we'll still be waiting for your answer unless your attorney instructs you not to answer. · · · · ·Do you understand?","Yes."
10,"6:23-7:6","Policies","No","","The witness testified that they understood the distinction regarding the entitlement to evidence, specifically that information learned before speaking to their attorney is not privileged.","And we're entitled to any evidence you may have whether you heard it secondhand, rumor, or gossip. · · · · ·We're not entitled to know things you only learned through your attorney, but if you knew it before and only repeated it to your attorney, then the information is not privileged and we're entitled to know it. · · · · ·Do you understand?","Yes."
11,"7:7-19","Admonitions","No","","The witness testified that they understood the difference between an estimate and a guess as explained in the example provided.","And we're also entitled to your best estimate, but we don't want you to guess. · · · · ·I'll give you the example that I use as a difference between an estimate and a guess. · · · · ·If I asked you to estimate the length of the table that you're sitting at with your personal knowledge, you can observe it and estimate how many feet and inches the table is.· But if I asked you to estimate the table at my house, you've never been there, you don't know if it's round or square or even if I have a table, and that would be a guess. · · · · ·Do you understand the difference?","Yes."
